∆T,K (min),n,Área da bacia,HUI,,HU 1 cm ; 30',HU 1 mm ; 30',Verificação de Pu = 1mm   ↑,Precipitação,Ia,Pacum,CN,S,Pefacum,Pef intervalo,Q simulado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verificação de Pe ↑,,
min,,,km²,u (t) --> cm/min,u(t) --> m³/s,m³/s,m³/s,,mm,mm,mm,-,mm,mm,mm,m³/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"10,00","28,58","41,3451","0,000","0,000",0,0,,"5,972","10,903","10,903","27,888","656,789","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000",,,Qp (m³/s)
30,,,,"0,000","0,000","0,000","0,000",,"0,901",,"11,804",,,"0,001","0,001","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000",,,"3,622"
60,,,,"0,000","0,000","0,000","0,000",,"0,242",,"12,046",,,"0,002","0,001","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000",,,
90,,,,"0,000","0,000","0,000","0,000",,"2,660",,"14,707",,,"0,022","0,020","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000",,,
120,,,,"0,000","0,033","0,017","0,002",,"2,134",,"16,841",,,"0,053","0,031","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000",,,
150,,,,"0,000","0,770","0,402","0,040",,"1,183",,"18,024",,,"0,076","0,023","0,000","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000",,,
180,,,,"0,001","5,853","3,312","0,331",,"1,639",,"19,663",,,"0,115","0,039","0,000","0,000","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000",,,
210,,,,"0,003","20,452","13,153","1,315",,"3,015",,"22,678",,,"0,207","0,092","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000",,,
240,,,,"0,006","40,471","30,461","3,046","1,000","1,660",,"24,338",,,"0,269","0,062","0,000","0,002","0,000","0,001","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,003","1,695",,
270,,,,"0,008","51,871","46,171","4,617",,"3,739",,"28,077",,,"0,438","0,168","0,000","0,004","0,001","0,007","0,001","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,013",,,
300,,,,"0,007","47,199","49,535","4,953",,"2,308",,"30,385",,,"0,561","0,124","0,000","0,006","0,002","0,026","0,010","0,001","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,046",,,
330,,,,"0,005","32,551","39,875","3,987",,"1,357",,"31,741",,,"0,641","0,080","0,000","0,006","0,003","0,061","0,041","0,008","0,002","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,121",,,
360,,,,"0,003","17,857","25,204","2,520",,"1,529",,"33,270",,,"0,737","0,096","0,000","0,005","0,004","0,092","0,095","0,030","0,013","0,004","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,243",,,
390,,,,"0,001","8,083","12,970","1,297",,"2,152",,"35,423",,,"0,882","0,146","0,000","0,003","0,003","0,099","0,145","0,071","0,051","0,030","0,002","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,404",,,
420,,,,"0,000","3,106","5,595","0,559",,"1,221",,"36,644",,,"0,971","0,088","0,000","0,002","0,002","0,079","0,155","0,107","0,119","0,121","0,021","0,007","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,612",,,
450,,,,"0,000","1,037","2,072","0,207",,"1,420",,"38,064",,,"1,079","0,108","0,000","0,001","0,001","0,050","0,125","0,115","0,180","0,281","0,081","0,056","0,005","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,894",,,
480,,,,"0,000","0,306","0,671","0,067",,"5,332",,"43,396",,,"1,532","0,453","0,000","0,000","0,000","0,026","0,079","0,092","0,193","0,425","0,189","0,221","0,041","0,003","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,270",,,
510,,,,"0,000","0,081","0,194","0,019",,"0,194",,"43,590",,,"1,550","0,018","0,000","0,000","0,000","0,011","0,041","0,058","0,155","0,456","0,286","0,513","0,163","0,026","0,004","0,000","0,000","0,000","0,000","0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,713",,,
